Feature,beta_Group,t_value,p_value,F_value,p_F_ancova,N,Metric_Group,p_FDR
transition_probability_4.3,0.004018535428473284,1.1260742083150852,0.2607063252805971,1.2680431226324458,0.2607063252805972,478,transition,0.58564613814606
transition_probability_4.4,0.011317249223531032,1.567708624702458,0.11761928238800376,2.4577103319664726,0.11761928238800376,478,transition,0.3463444468870662
transition_probability_4.5,0.00048153897348845505,1.5586760493447833,0.11974329316190388,2.429471026801062,0.11974329316190378,478,transition,0.3463444468870662
transition_probability_4.6,-0.0025387178080076476,-0.6733102803790203,0.5010794551100247,0.4533467336640748,0.5010794551100247,478,transition,0.7592112956212496
transition_probability_4.7,-0.0030849527693701927,-0.8033231608107464,0.42219232248772576,0.6453281006949682,0.42219232248772576,478,transition,0.6626087010666545
transition_probability_5.1,-0.0035200868530350657,-0.9417827270445075,0.34678564940419976,0.8869547049593892,0.3467856494041999,478,transition,0.6411631310541985
transition_probability_5.2,0.0023173284778672497,0.6021322508249448,0.5473752425373375,0.36256324748351415,0.5473752425373376,478,transition,0.7602433924129688
transition_probability_5.3,-0.00943388971686046,-2.6445333420097294,0.00845293006728237,6.993556597001149,0.00845293006728237,478,transition,0.05283081292051481
transition_probability_5.4,0.0003800327195116251,1.000657706524086,0.3175050360642026,1.001315845626044,0.3175050360642026,478,transition,0.6331424403822308
transition_probability_5.5,0.013942279648648912,1.971700697794908,0.04922731798662831,3.8876036416849273,0.04922731798662831,478,transition,0.17980370856231448
transition_probability_5.6,-0.0023383049862797218,-0.9766675266916419,0.32923406899876,0.9538794576939691,0.32923406899876,478,transition,0.6331424403822308
transition_probability_5.7,-0.0013473592898542218,-0.3739314022035217,0.7086232627962307,0.13982469355389196,0.7086232627962307,478,transition,0.8052537077229894
transition_probability_6.1,0.0005137604271973945,0.09942919422668281,0.9208397184572269,0.009886164664567416,0.9208397184572269,478,transition,0.9396323657726805
transition_probability_6.2,-0.0008362683687076903,-0.16997168014383685,0.8651052355424886,0.028890372050918788,0.8651052355424886,478,transition,0.920324718662222
transition_probability_6.3,-0.008957760594010166,-1.6052241948263282,0.10911329548905885,2.5767447156558334,0.10911329548905885,478,transition,0.3463444468870662
transition_probability_6.4,0.007827033881365285,1.5260745782845235,0.12766106918110445,2.3289036184862857,0.1276610691811045,478,transition,0.3463444468870662
transition_probability_6.5,0.005869195049079036,1.4314518409771828,0.1529625520922259,2.0490543730369652,0.15296255209222598,478,transition,0.3824063802305647
transition_probability_6.6,-0.0028886336394096535,-0.28294114422587585,0.7773459976246735,0.08005569109584787,0.7773459976246735,478,transition,0.8449413017659494
transition_probability_6.7,-0.0015273267555155827,-2.3347621052380982,0.01997424319461235,5.451114088055836,0.019974243194612367,478,transition,0.1109680177478464
transition_probability_7.1,-0.00841606352475543,-2.2135665317645246,0.027336024710898132,4.899876790548026,0.027336024710898132,478,transition,0.13668012355449066
transition_probability_7.2,0.0025417665923358774,0.625196925478428,0.5321439565101946,0.3908711956276791,0.5321439565101944,478,transition,0.7602433924129688
transition_probability_7.3,-0.006698210937924473,-1.5103985959667259,0.13161088981708516,2.281303918698257,0.13161088981708516,478,transition,0.3463444468870662
transition_probability_7.4,0.008010038109976404,1.9620397858082397,0.050345038397448055,3.849600121094443,0.050345038397448055,478,transition,0.17980370856231448
transition_probability_7.5,0.012615229377899523,2.6572866716082904,0.008144308763275243,7.061172455107067,0.008144308763275234,478,transition,0.05283081292051481
transition_probability_7.6,-0.00017841305521345839,-0.3956177540912026,0.692565788059246,0.1565134073521673,0.692565788059246,478,transition,0.8052537077229894
