Feature,subject_id,Condition_encoded,Fitted,Residuals
counts_CAP-1,728,0,23.12581657961906,-4.125816579619059
counts_CAP-1,729,0,22.694861030323047,1.3051389696769533
counts_CAP-1,733,0,21.930035636255596,3.069964363744404
counts_CAP-1,735,0,22.95172682648399,-3.9517268264839913
counts_CAP-1,740,0,26.406914675155527,8.593085324844473
counts_CAP-1,741,0,24.865021761098458,2.1349782389015424
counts_CAP-1,743,0,26.225385143222315,20.774614856777685
counts_CAP-1,744,0,24.035942950745287,5.964057049254713
counts_CAP-1,748,0,23.092924049348305,-2.092924049348305
counts_CAP-1,750,0,23.700975343385956,-1.7009753433859558
counts_CAP-1,751,0,24.11136563788217,3.8886343621178305
counts_CAP-1,752,0,23.491099727978145,0.5089002720218545
counts_CAP-1,753,0,22.863479656000667,-3.863479656000667
counts_CAP-1,756,0,24.4586729773521,13.541327022647899
counts_CAP-1,757,0,23.715031251406344,6.284968748593656
counts_CAP-1,758,0,24.22796035364761,5.77203964635239
counts_CAP-1,761,0,23.277318511823612,-2.277318511823612
counts_CAP-1,762,0,24.48789809958007,-5.487898099580072
counts_CAP-1,763,0,25.193007798411642,8.806992201588358
counts_CAP-1,764,0,22.865667515710626,0.1343324842893736
counts_CAP-1,768,0,23.907472876383913,4.092527123616087
counts_CAP-1,769,0,24.175976984742512,-0.1759769847425119
counts_CAP-1,771,0,24.485173470126522,9.514826529873478
counts_CAP-1,772,0,22.726942011453975,5.273057988546025
counts_CAP-1,773,0,23.490292323908875,-12.490292323908875
counts_CAP-1,774,0,22.8381776896846,-10.8381776896846
counts_CAP-1,775,0,26.01474164609031,-6.014741646090311
counts_CAP-1,776,0,21.242159151141866,-6.242159151141866
counts_CAP-1,777,0,22.93373702147347,6.066262978526531
counts_CAP-1,778,0,24.006574104443345,11.993425895556655
counts_CAP-1,779,0,23.90276998781362,5.09723001218638
counts_CAP-1,780,0,21.79378975805958,-8.793789758059582
counts_CAP-1,785,0,23.137299140222886,8.862700859777114
counts_CAP-1,786,0,23.304206633401083,0.6957933665989167
counts_CAP-1,789,0,24.31956922641295,-0.3195692264129484
counts_CAP-1,794,0,23.84088019918783,-5.840880199187829
counts_CAP-1,797,0,22.007207079228078,-4.007207079228078
counts_CAP-1,800,0,21.82237187938588,-11.82237187938588
counts_CAP-1,803,0,23.123715295510628,-0.12371529551062821
counts_CAP-1,815,0,23.44095122813309,-5.440951228133091
counts_CAP-1,820,0,22.657509091493015,-4.657509091493015
counts_CAP-1,821,0,23.135449517219968,8.864550482780032
counts_CAP-1,825,0,22.82891855112843,-2.8289185511284316
counts_CAP-1,826,0,22.945947118717662,-3.945947118717662
counts_CAP-1,827,0,24.490477384543887,-2.490477384543887
counts_CAP-1,833,0,25.024894847261123,10.975105152738877
counts_CAP-1,834,0,24.408249563292546,3.5917504367074535
counts_CAP-1,835,0,24.279275448953843,4.720724551046157
counts_CAP-1,836,0,26.076347228205236,5.923652771794764
counts_CAP-1,842,0,23.834896014250454,-4.834896014250454
counts_CAP-1,848,0,24.193817678080404,-1.1938176780804035
counts_CAP-1,849,0,22.610891181265263,3.389108818734737
counts_CAP-1,855,0,23.106577272106414,-3.1065772721064135
counts_CAP-1,858,0,21.21791640914113,-4.217916409141129
counts_CAP-1,864,0,24.823726093470064,2.1762739065299357
counts_CAP-1,865,0,23.218844533626328,-3.218844533626328
counts_CAP-1,868,0,23.65710404684364,-2.6571040468436387
counts_CAP-1,876,0,24.618783771229207,7.381216228770793
counts_CAP-1,877,0,23.73052885006787,-5.73052885006787
counts_CAP-1,880,0,23.431789254196882,1.5682107458031176
counts_CAP-1,883,0,22.803246198214175,1.1967538017858246
counts_CAP-1,885,0,21.692422883448756,-6.6924228834487565
counts_CAP-1,894,0,24.390032486573972,7.609967513426028
counts_CAP-1,895,0,23.530748085133585,0.4692519148664154
counts_CAP-1,896,0,23.93453216940224,5.065467830597761
counts_CAP-1,899,0,25.10683295589518,-6.106832955895179
counts_CAP-1,903,0,24.118270932265702,7.881729067734298
counts_CAP-1,904,0,23.049079814603896,-2.049079814603896
counts_CAP-1,905,0,24.076031202073693,8.923968797926307
counts_CAP-1,911,0,21.22595844331451,-10.22595844331451
counts_CAP-1,912,0,25.06529343787903,-3.0652934378790313
counts_CAP-1,918,0,23.141918254322825,2.8580817456771754
counts_CAP-1,925,0,25.06522869686103,-7.0652286968610305
counts_CAP-1,927,0,24.360161433181165,11.639838566818835
counts_CAP-1,930,0,25.913089781799187,-2.9130897817991865
counts_CAP-1,941,0,24.97058097564267,8.029419024357331
counts_CAP-1,947,0,24.348404404282356,0.6515955957176445
counts_CAP-1,955,0,23.77130528234265,4.228694717657351
counts_CAP-1,961,0,23.60320348919779,-9.603203489197789
counts_CAP-1,962,0,22.111420639729005,-2.1114206397290047
counts_CAP-1,963,0,24.297833252570577,0.7021667474294233
