Metric,Feature,Analysis_Type,N,beta,t_value,p_value,p_FDR
transition_frequency,frequency,Longitudinal,470,2.5097558397810373,1.6950784696731318,0.09006053596261444,0.21983425917575983
transition_probability,1.1,Longitudinal,470,-0.009633638994378154,-1.1845539309811322,0.23619386101462592,0.4042371931835095
transition_probability,1.2,Longitudinal,470,0.00554688842520899,1.506409074154113,0.1319621927026684,0.2868743319623226
transition_probability,1.3,Longitudinal,470,0.002912331514849429,0.9218912423112096,0.35658530770489116,0.49525737181234886
transition_probability,1.4,Longitudinal,470,0.00823533802119298,2.1105009375026778,0.03481523050289255,0.13390473270343287
transition_probability,1.5,Longitudinal,470,0.011147981119522764,3.4595168878314793,0.0005411453419268092,0.009902790367554454
transition_probability,1.6,Longitudinal,470,-0.010392168695942072,-2.948833214312737,0.0031897606887092427,0.02278400491935173
transition_probability,1.7,Longitudinal,470,-0.007858420752970604,-2.248339945345036,0.024554521422336266,0.10231050592640112
transition_probability,2.1,Longitudinal,470,0.0018166493317144227,0.6120646797144653,0.5404949649935661,0.6141988238563251
transition_probability,2.2,Longitudinal,470,-0.009462486749229289,-1.4067782173438226,0.1594931636579736,0.3189863273159472
transition_probability,2.3,Longitudinal,470,0.0011379152163566116,0.46402146259892646,0.6426323687141609,0.6836514560788945
transition_probability,2.4,Longitudinal,470,0.008650569565877942,2.8341993150522637,0.004594066862529037,0.028712917890806478
transition_probability,2.5,Longitudinal,470,0.012941076009643051,3.434262990009088,0.0005941674220532672,0.009902790367554454
transition_probability,2.6,Longitudinal,470,-0.004114820983429056,-1.208442072485154,0.2268772648901035,0.4042371931835095
transition_probability,2.7,Longitudinal,470,-0.010997763481095362,-3.3466712276984274,0.000817881501591467,0.010223518769893337
transition_probability,3.1,Longitudinal,470,0.0005036329133113534,0.15857754327072449,0.8740017227630505,0.8918384926153577
transition_probability,3.2,Longitudinal,470,-0.00019851277429728034,-0.09425989806971943,0.9249027047382885,0.9249027047382885
transition_probability,3.3,Longitudinal,470,-0.0033650988425187713,-0.4772200181673296,0.6332054578885244,0.6836514560788945
transition_probability,3.4,Longitudinal,470,0.008093394333462475,2.724628892527002,0.006437379823692228,0.0357632212427346
transition_probability,3.5,Longitudinal,470,0.003904598034501524,1.1293765825359612,0.25873900711705133,0.4042796986203927
transition_probability,3.6,Longitudinal,470,-0.008293532808604703,-2.526132155980271,0.011532608940171931,0.052420949728054236
transition_probability,3.7,Longitudinal,470,-0.0006451930969025026,-0.16829848631119837,0.8663484646276305,0.8918384926153577
transition_probability,4.1,Longitudinal,470,-0.0021041247471391875,-0.6958313101907055,0.48653447860536636,0.5792077126254361
transition_probability,4.2,Longitudinal,470,-0.0028002421484398833,-0.8431426392297613,0.39914867418494704,0.5022568106666817
transition_probability,4.3,Longitudinal,470,0.005298115476146257,1.7207149973603924,0.08530255357775637,0.21983425917575983
transition_probability,4.4,Longitudinal,470,0.010517713779857173,1.5092711743478242,0.13122949798649883,0.2868743319623226
transition_probability,4.5,Longitudinal,470,-0.0003662536238641088,-1.0037991608850045,0.3154754289450189,0.4506791842071699
transition_probability,4.6,Longitudinal,470,-0.006766434941859836,-1.9389816842934826,0.05250356843418103,0.15442226010053245
transition_probability,4.7,Longitudinal,470,-0.0037715672819275277,-1.0855564382477914,0.27767528133291164,0.40834600196016413
transition_probability,5.1,Longitudinal,470,-0.0030094621124318395,-1.1065428842989793,0.26849161309629166,0.40680547438832065
transition_probability,5.2,Longitudinal,470,0.0022802204803948744,0.635834918447069,0.524884025484651,0.6103302621914546
transition_probability,5.3,Longitudinal,470,-0.004947885076546618,-1.4680556089232337,0.1420891183042186,0.2960189964671221
transition_probability,5.4,Longitudinal,470,-0.00044957603053637663,-1.1686558517394847,0.24254231591010567,0.4042371931835095
transition_probability,5.5,Longitudinal,470,0.012130946373265023,1.9667084556881484,0.049216831508171285,0.15380259846303526
