Group,CAP,ROI,TemplateValue
All Subjects,CAP-1,A13_l,0.29574522376060486
All Subjects,CAP-2,A13_l,0.1316051483154297
All Subjects,CAP-3,A13_l,-0.3835456669330597
All Subjects,CAP-4,A13_l,-0.48106318712234497
All Subjects,CAP-5,A13_l,0.47669756412506104
All Subjects,CAP-6,A13_l,-0.49497362971305847
All Subjects,CAP-7,A13_l,0.3771370053291321
All Subjects,CAP-1,A13_r,0.2274370640516281
All Subjects,CAP-2,A13_r,0.09353313595056534
All Subjects,CAP-3,A13_r,-0.299629807472229
All Subjects,CAP-4,A13_r,-0.4818204343318939
All Subjects,CAP-5,A13_r,0.47599169611930847
All Subjects,CAP-6,A13_r,-0.4829774796962738
All Subjects,CAP-7,A13_r,0.376906156539917
All Subjects,CAP-1,A12/47l_l,0.21194754540920258
All Subjects,CAP-2,A12/47l_l,-0.37803635001182556
All Subjects,CAP-3,A12/47l_l,0.17732153832912445
All Subjects,CAP-4,A12/47l_l,-0.661442220211029
All Subjects,CAP-5,A12/47l_l,0.537975549697876
All Subjects,CAP-6,A12/47l_l,-0.6706987023353577
All Subjects,CAP-7,A12/47l_l,0.6223785877227783
All Subjects,CAP-1,A12/47l_r,-0.17205700278282166
All Subjects,CAP-2,A12/47l_r,-0.17988289892673492
All Subjects,CAP-3,A12/47l_r,0.16763314604759216
All Subjects,CAP-4,A12/47l_r,-0.40534839034080505
All Subjects,CAP-5,A12/47l_r,0.37271761894226074
All Subjects,CAP-6,A12/47l_r,-0.7119426131248474
All Subjects,CAP-7,A12/47l_r,0.7281815409660339
All Subjects,CAP-1,A4hf_l,0.5715636610984802
All Subjects,CAP-2,A4hf_l,-0.10266300290822983
All Subjects,CAP-3,A4hf_l,-0.2507329285144806
All Subjects,CAP-4,A4hf_l,0.513193666934967
All Subjects,CAP-5,A4hf_l,-0.5182899236679077
All Subjects,CAP-6,A4hf_l,-0.4379687011241913
All Subjects,CAP-7,A4hf_l,0.27062365412712097
All Subjects,CAP-1,A4hf_r,0.47431591153144836
All Subjects,CAP-2,A4hf_r,-0.03008468635380268
All Subjects,CAP-3,A4hf_r,-0.276679664850235
All Subjects,CAP-4,A4hf_r,0.5387877821922302
All Subjects,CAP-5,A4hf_r,-0.5155410170555115
All Subjects,CAP-6,A4hf_r,-0.4423993229866028
All Subjects,CAP-7,A4hf_r,0.2852908968925476
All Subjects,CAP-1,A6cdl_l,0.4181898534297943
All Subjects,CAP-2,A6cdl_l,-0.28470578789711
All Subjects,CAP-3,A6cdl_l,0.019650408998131752
All Subjects,CAP-4,A6cdl_l,0.605872392654419
All Subjects,CAP-5,A6cdl_l,-0.601830005645752
All Subjects,CAP-6,A6cdl_l,-0.04165181145071983
All Subjects,CAP-7,A6cdl_l,-0.016407588496804237
All Subjects,CAP-1,A6cdl_r,0.26558610796928406
All Subjects,CAP-2,A6cdl_r,-0.1798873245716095
All Subjects,CAP-3,A6cdl_r,-0.022595783695578575
All Subjects,CAP-4,A6cdl_r,0.8577927947044373
All Subjects,CAP-5,A6cdl_r,-0.7960677146911621
All Subjects,CAP-6,A6cdl_r,0.02415989153087139
All Subjects,CAP-7,A6cdl_r,-0.03340153023600578
All Subjects,CAP-1,A4ul_l,0.3908430337905884
All Subjects,CAP-2,A4ul_l,0.09239434450864792
All Subjects,CAP-3,A4ul_l,-0.31764382123947144
All Subjects,CAP-4,A4ul_l,0.4208069145679474
All Subjects,CAP-5,A4ul_l,-0.3949430286884308
All Subjects,CAP-6,A4ul_l,-0.21136192977428436
All Subjects,CAP-7,A4ul_l,0.07940326631069183
All Subjects,CAP-1,A4ul_r,0.4523790180683136
All Subjects,CAP-2,A4ul_r,0.05993002653121948
All Subjects,CAP-3,A4ul_r,-0.32326024770736694
All Subjects,CAP-4,A4ul_r,0.48371848464012146
All Subjects,CAP-5,A4ul_r,-0.4673764705657959
All Subjects,CAP-6,A4ul_r,-0.16623368859291077
All Subjects,CAP-7,A4ul_r,0.04591558873653412
All Subjects,CAP-1,A4t_l,0.2789195775985718
All Subjects,CAP-2,A4t_l,0.12644295394420624
All Subjects,CAP-3,A4t_l,-0.2864668667316437
All Subjects,CAP-4,A4t_l,0.5359610319137573
All Subjects,CAP-5,A4t_l,-0.4778099060058594
All Subjects,CAP-6,A4t_l,-0.11702314764261246
All Subjects,CAP-7,A4t_l,0.00901847705245018
All Subjects,CAP-1,A4t_r,0.2728564441204071
All Subjects,CAP-2,A4t_r,0.16561412811279297
All Subjects,CAP-3,A4t_r,-0.33110734820365906
All Subjects,CAP-4,A4t_r,0.6056492328643799
All Subjects,CAP-5,A4t_r,-0.5361425876617432
All Subjects,CAP-6,A4t_r,-0.2043764740228653
All Subjects,CAP-7,A4t_r,0.08656933158636093
All Subjects,CAP-1,A4tl_l,0.19739224016666412
All Subjects,CAP-2,A4tl_l,0.06241202354431152
All Subjects,CAP-3,A4tl_l,-0.3097786009311676
All Subjects,CAP-4,A4tl_l,1.0199921131134033
All Subjects,CAP-5,A4tl_l,-0.8621070384979248
All Subjects,CAP-6,A4tl_l,-0.5604886412620544
All Subjects,CAP-7,A4tl_l,0.4658462107181549
All Subjects,CAP-1,A4tl_r,0.1332450956106186
All Subjects,CAP-2,A4tl_r,0.08526130765676498
All Subjects,CAP-3,A4tl_r,-0.2992580235004425
All Subjects,CAP-4,A4tl_r,1.035602331161499
All Subjects,CAP-5,A4tl_r,-0.873025119304657
All Subjects,CAP-6,A4tl_r,-0.5274150371551514
All Subjects,CAP-7,A4tl_r,0.4590015113353729
All Subjects,CAP-1,A6cvl_l,0.24162475764751434
All Subjects,CAP-2,A6cvl_l,-0.6168991327285767
All Subjects,CAP-3,A6cvl_l,0.464036762714386
All Subjects,CAP-4,A6cvl_l,0.35858139395713806
All Subjects,CAP-5,A6cvl_l,-0.4363565146923065
All Subjects,CAP-6,A6cvl_l,-0.2326284795999527
All Subjects,CAP-7,A6cvl_l,0.21815258264541626
All Subjects,CAP-1,A6cvl_r,0.06994165480136871
All Subjects,CAP-2,A6cvl_r,-0.4122387766838074
All Subjects,CAP-3,A6cvl_r,0.31267398595809937
All Subjects,CAP-4,A6cvl_r,0.6814069151878357
All Subjects,CAP-5,A6cvl_r,-0.6621481776237488
All Subjects,CAP-6,A6cvl_r,-0.1509873867034912
All Subjects,CAP-7,A6cvl_r,0.1853024661540985
All Subjects,CAP-1,A1/2/3ll_l,0.24525950849056244
All Subjects,CAP-2,A1/2/3ll_l,0.3164277672767639
All Subjects,CAP-3,A1/2/3ll_l,-0.45509836077690125
All Subjects,CAP-4,A1/2/3ll_l,0.4841128885746002
All Subjects,CAP-5,A1/2/3ll_l,-0.4212913513183594
All Subjects,CAP-6,A1/2/3ll_l,-0.06619834899902344
All Subjects,CAP-7,A1/2/3ll_l,-0.02056927978992462
All Subjects,CAP-1,A1/2/3ll_r,0.1621105968952179
All Subjects,CAP-2,A1/2/3ll_r,0.3432333171367645
All Subjects,CAP-3,A1/2/3ll_r,-0.46922388672828674
All Subjects,CAP-4,A1/2/3ll_r,0.8494669795036316
All Subjects,CAP-5,A1/2/3ll_r,-0.7346549034118652
All Subjects,CAP-6,A1/2/3ll_r,-0.11944163590669632
All Subjects,CAP-7,A1/2/3ll_r,0.06190916895866394
All Subjects,CAP-1,A4ll_l,0.31890442967414856
All Subjects,CAP-2,A4ll_l,0.21524320542812347
All Subjects,CAP-3,A4ll_l,-0.418376624584198
