Feature,feature_base,Gender_Cohort,N_subcohort,beta_interaction,p_interaction,beta_off_on_nonres,p_off_on_nonres,beta_off_on_res,p_off_on_res,beta_group_on,p_group_on,beta_group_off,p_group_off,Metric_Group,p_interaction_FDR,p_off_on_nonres_FDR,p_off_on_res_FDR,p_group_on_FDR,p_group_off_FDR
temporal_fraction_CAP-4,temporal_fraction_CAP-4,Gender_2,202,0.009941530130202898,0.4097582430658119,0.02024746544727894,0.04290197054888378,0.030188995577481836,7.326861220402492e-06,-0.00035102717033690686,0.9732356464001533,0.009590502959865991,0.35532718843552225,temporal,0.7170769253651709,0.07507844846054662,1.709600951427248e-05,0.9732356464001533,0.6218225797621639
temporal_fraction_CAP-5,temporal_fraction_CAP-5,Gender_1,234,0.0050877105674568225,0.5958228179595674,0.008115984539523356,0.25939272720301054,0.01320369510698018,0.03871681310924324,-0.0030715901215669253,0.7419311226304957,0.002016120445889897,0.8281112936985371,temporal,0.8341519451433943,0.36314981808421476,0.2710176917647027,0.8655863097355783,0.8281112936985371
temporal_fraction_CAP-5,temporal_fraction_CAP-5,Gender_2,202,0.025360850699682594,0.029235938163575864,0.006749568722165917,0.48445658729241403,0.03211041942184851,7.168632571996625e-07,-0.005489174402866363,0.629109327937952,0.01987167629681623,0.07785559645421403,temporal,0.10232578357251552,0.5651993518411498,5.018042800397637e-06,0.8860784498436542,0.5449891751794982
temporal_fraction_CAP-6,temporal_fraction_CAP-6,Gender_1,234,0.013890129695634265,0.09213496164646637,-0.018503261509433103,0.0027879517217048733,-0.0046131318137988386,0.4004709021984685,-0.0031389304464199603,0.6793471354352145,0.010751199249214305,0.15497413081972322,temporal,0.3726195935815261,0.019515662051934113,0.5456715580321861,0.8655863097355783,0.5424094578690313
temporal_fraction_CAP-6,temporal_fraction_CAP-6,Gender_2,202,0.0004135148988220956,0.9672988442243442,-0.02629891444282943,0.0016644911441994203,-0.025885399544007332,4.285767986500488e-06,-0.00415171529131466,0.632913178459753,-0.0037382003924925646,0.6645063369535773,temporal,0.9672988442243442,0.008934714052139525,1.5000187952751709e-05,0.8860784498436542,0.7752573931125069
temporal_fraction_CAP-7,temporal_fraction_CAP-7,Gender_1,234,0.008760303157729434,0.3510856547190868,-0.014575045279160597,0.038680878822844766,-0.005814742121431163,0.35196405276400666,-0.004726775449388339,0.5747334778459885,0.004033527708341095,0.6305608586980851,temporal,0.6143998957584019,0.13538307587995668,0.5456715580321861,0.8655863097355783,0.8281112936985371
temporal_fraction_CAP-7,temporal_fraction_CAP-7,Gender_2,202,0.0036863020499406374,0.7432499392742615,-0.028146268744601466,0.0025527754434684358,-0.02445996669466083,0.00010009741942162975,-0.005190089236460898,0.5733067263240259,-0.0015037871865202605,0.8692807063795978,temporal,0.8671249291533052,0.008934714052139525,0.00017517048398785207,0.8860784498436542,0.8692807063795978
transition_frequency,transition_frequency,Gender_1,234,-4.376337099823942,0.3017030305680005,5.5751164764313454,0.07966687108682913,1.198779376607403,0.6694654341407331,-0.20933844052119246,0.9446399666311533,-4.585675540345135,0.12682003301938338,transition_frequency,0.3017030305680005,0.07966687108682913,0.6694654341407331,0.9446399666311533,0.12682003301938338
transition_frequency,transition_frequency,Gender_2,202,2.123471098067419,0.6503844092968043,-1.7719648106112718,0.6481344779151694,0.3515062874561472,0.893242760271568,0.5914412014271813,0.8750274046830588,2.7149122994946002,0.4667379840628314,transition_frequency,0.6503844092968043,0.6481344779151694,0.893242760271568,0.8750274046830588,0.4667379840628314
transition_probability_1.1,transition_probability_1.1,Gender_1,234,-0.008953369103476948,0.6914390783817415,-0.0037428382528607164,0.8250505222859734,-0.012696207356337665,0.3962821106579242,0.010599561193765648,0.5447206679053662,0.0016461920902886996,0.9247494152852387,transition_probability,0.9639577362162925,0.9921543398406043,0.8747856872437774,0.9957643145230644,0.9440150281036812
