Group,Analysis_Type,Imaging_Feature,Clinical_Target,N,Spearman_r,p_value,Metric_Group,p_FDR,Significant_FDR
Non-responder,Longitudinal,Delta_temporal_fraction_CAP-4,Delta_UPDRS,93,-0.17553386236961574,0.0998924119236396,temporal,0.30566534239044374,No
Non-responder,Longitudinal,Delta_temporal_fraction_CAP-2,Delta_UPDRS,93,0.16130798536233265,0.13099943245304732,temporal,0.30566534239044374,No
Non-responder,Longitudinal,Delta_temporal_fraction_CAP-7,Delta_UPDRS,93,0.10630485985220404,0.3214347537305054,temporal,0.4700343309705095,No
Non-responder,Longitudinal,Delta_temporal_fraction_CAP-6,Delta_UPDRS,93,0.10322372991487495,0.33573880783607823,temporal,0.4700343309705095,No
Non-responder,Longitudinal,Delta_temporal_fraction_CAP-3,Delta_UPDRS,93,0.05336499930549548,0.6194136143112909,temporal,0.7226492166965062,No
Non-responder,Longitudinal,Delta_temporal_fraction_CAP-1,Delta_UPDRS,93,-0.03688093211287606,0.7314990059217487,temporal,0.7314990059217487,No
Non-responder,Longitudinal,Delta_transition_frequency,Delta_UPDRS,93,0.06011520932326116,0.5757420394199189,transition_frequency,0.5757420394199189,No
Non-responder,Longitudinal,Delta_transition_probability_2.5,Delta_UPDRS,93,-0.3457986139668735,0.0009028756721864209,transition_probability,0.04424090793713463,Yes
Non-responder,Longitudinal,Delta_transition_probability_1.4,Delta_UPDRS,93,-0.3255004223304179,0.001854571925711307,transition_probability,0.045437012179927024,Yes
Non-responder,Longitudinal,Delta_transition_probability_3.6,Delta_UPDRS,93,0.23457439048772852,0.026921282269754307,transition_probability,0.4311238115546602,No
Non-responder,Longitudinal,Delta_transition_probability_4.4,Delta_UPDRS,93,-0.22357474936386687,0.0351937805350743,transition_probability,0.4311238115546602,No
Non-responder,Longitudinal,Delta_transition_probability_2.1,Delta_UPDRS,93,-0.19774802660371524,0.06323048999238744,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_6.3,Delta_UPDRS,93,0.18395874463802103,0.08440316804432663,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_7.3,Delta_UPDRS,93,0.1790435438324776,0.09318899610578744,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_6.1,Delta_UPDRS,93,-0.16425361424003793,0.12401757668545815,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_5.2,Delta_UPDRS,93,0.15293315976342095,0.15248625287133266,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_3.1,Delta_UPDRS,93,-0.14964269004132386,0.1616139199898781,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_4.3,Delta_UPDRS,93,0.14855900070211595,0.1647070503713616,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_5.7,Delta_UPDRS,93,-0.146218681984664,0.17153599294979177,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_2.3,Delta_UPDRS,93,0.14601061169442142,0.17215306518733106,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_2.2,Delta_UPDRS,93,0.14283378382741885,0.18177812220361797,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_3.7,Delta_UPDRS,93,0.14138089719065797,0.18630845910212518,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_1.5,Delta_UPDRS,93,-0.13673569674110134,0.20134212388066947,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_1.1,Delta_UPDRS,93,0.1351357641805187,0.20671612158411493,transition_probability,0.5958288210365665,No
Non-responder,Longitudinal,Delta_transition_probability_7.6,Delta_UPDRS,93,-0.11912975090906586,0.266161623671323,transition_probability,0.6892108129478518,No
Non-responder,Longitudinal,Delta_transition_probability_4.6,Delta_UPDRS,93,0.11886210642310066,0.26724500910222826,transition_probability,0.6892108129478518,No
Non-responder,Longitudinal,Delta_transition_probability_3.3,Delta_UPDRS,93,-0.11186276947108055,0.2966368544025135,transition_probability,0.726760293286158,No
Non-responder,Longitudinal,Delta_transition_probability_2.4,Delta_UPDRS,93,0.10485382710577222,0.3281216955322702,transition_probability,0.7368361622908551,No
Non-responder,Longitudinal,Delta_transition_probability_5.3,Delta_UPDRS,93,-0.10022991026524307,0.3500170787656547,transition_probability,0.7368361622908551,No
Non-responder,Longitudinal,Delta_transition_probability_4.7,Delta_UPDRS,93,0.09897498405869158,0.3561130747945675,transition_probability,0.7368361622908551,No
Non-responder,Longitudinal,Delta_transition_probability_3.4,Delta_UPDRS,93,0.09443761578235665,0.3786980664232111,transition_probability,0.7368361622908551,No
